,store_id,region,type_of_business,amount,Date
2018-01-06,8,부산 동래구,한식 음식점업,376142.85714285716,2018-01-06
2018-01-20,8,부산 동래구,한식 음식점업,150642.85714285716,2018-01-20
2018-02-03,8,부산 동래구,한식 음식점업,271928.5714285714,2018-02-03
2018-02-17,8,부산 동래구,한식 음식점업,298357.14285714284,2018-02-17
2018-03-03,8,부산 동래구,한식 음식점업,270714.28571428574,2018-03-03
2018-03-17,8,부산 동래구,한식 음식점업,259714.2857142857,2018-03-17
2018-03-31,8,부산 동래구,한식 음식점업,329142.8571428571,2018-03-31
2018-04-14,8,부산 동래구,한식 음식점업,444428.5714285714,2018-04-14
2018-04-28,8,부산 동래구,한식 음식점업,817785.7142857143,2018-04-28
2018-05-12,8,부산 동래구,한식 음식점업,876428.5714285714,2018-05-12
2018-05-26,8,부산 동래구,한식 음식점업,763357.1428571427,2018-05-26
2018-06-09,8,부산 동래구,한식 음식점업,652000.0000000001,2018-06-09
2018-06-23,8,부산 동래구,한식 음식점업,493471.4285714286,2018-06-23
2018-07-07,8,부산 동래구,한식 음식점업,578142.8571428572,2018-07-07
2018-07-21,8,부산 동래구,한식 음식점업,436357.14285714296,2018-07-21
2018-08-04,8,부산 동래구,한식 음식점업,448642.85714285716,2018-08-04
2018-08-18,8,부산 동래구,한식 음식점업,602642.8571428572,2018-08-18
2018-09-01,8,부산 동래구,한식 음식점업,573414.2857142857,2018-09-01
2018-09-15,8,부산 동래구,한식 음식점업,703571.4285714286,2018-09-15
2018-09-29,8,부산 동래구,한식 음식점업,615928.5714285715,2018-09-29
2018-10-13,8,부산 동래구,한식 음식점업,532357.1428571428,2018-10-13
2018-10-27,8,부산 동래구,한식 음식점업,548071.4285714285,2018-10-27
2018-11-10,8,부산 동래구,한식 음식점업,677371.4285714285,2018-11-10
2018-11-24,8,부산 동래구,한식 음식점업,488114.2857142857,2018-11-24
2018-12-08,8,부산 동래구,한식 음식점업,466357.14285714284,2018-12-08
2018-12-22,8,부산 동래구,한식 음식점업,543185.7142857143,2018-12-22
2019-01-05,8,부산 동래구,한식 음식점업,480514.28571428574,2019-01-05
2019-01-19,8,부산 동래구,한식 음식점업,607142.8571428572,2019-01-19
2019-02-02,8,부산 동래구,한식 음식점업,821028.5714285714,2019-02-02
2019-02-16,8,부산 동래구,한식 음식점업,435385.7142857142,2019-02-16
2016-06-04,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,120004.28571428571,2016-06-04
2016-06-18,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,10600.0,2016-06-18
2016-07-02,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,61428.57142857143,2016-07-02
2016-07-16,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,27157.14285714286,2016-07-16
2016-07-30,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,53528.57142857142,2016-07-30
2016-08-13,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,97942.85714285714,2016-08-13
2016-08-27,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,127214.2857142857,2016-08-27
2016-09-10,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,274099.99999999994,2016-09-10
2016-09-24,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,241968.57142857148,2016-09-24
2016-10-08,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,153964.2857142857,2016-10-08
2016-10-22,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,19885.714285714286,2016-10-22
2016-11-05,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,294385.7142857143,2016-11-05
2016-11-19,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,98285.71428571429,2016-11-19
2016-12-03,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,63857.14285714285,2016-12-03
2016-12-17,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,3014.285714285714,2016-12-17
2016-12-31,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2016-12-31
2017-01-14,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,18271.428571428572,2017-01-14
2017-01-28,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,1285.7142857142858,2017-01-28
2017-02-11,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,4714.285714285715,2017-02-11
2017-02-25,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2017-02-25
2017-03-11,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2017-03-11
2017-03-25,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,42428.57142857143,2017-03-25
2017-04-08,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,4714.285714285715,2017-04-08
2017-04-22,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,714.2857142857142,2017-04-22
2017-05-06,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,285.7142857142857,2017-05-06
2017-05-20,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2017-05-20
2017-06-03,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2017-06-03
2017-06-17,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,75428.57142857142,2017-06-17
2017-07-01,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,13578.571428571433,2017-07-01
2017-07-15,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,25614.285714285706,2017-07-15
2017-07-29,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,46600.0,2017-07-29
2017-08-12,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,27342.857142857145,2017-08-12
2017-08-26,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,149871.42857142855,2017-08-26
2017-09-09,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,67357.14285714286,2017-09-09
2017-09-23,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,18471.428571428572,2017-09-23
2017-10-07,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,153614.28571428568,2017-10-07
2017-10-21,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,7385.7142857142835,2017-10-21
2017-11-04,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,5285.714285714286,2017-11-04
2017-11-18,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,109700.0,2017-11-18
2017-12-02,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,278171.42857142864,2017-12-02
2017-12-16,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,23171.428571428572,2017-12-16
2017-12-30,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,337142.85714285716,2017-12-30
2018-01-13,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,147185.71428571432,2018-01-13
2018-01-27,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,20328.571428571428,2018-01-27
2018-02-10,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,109828.57142857143,2018-02-10
2018-02-24,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,107857.14285714286,2018-02-24
2018-03-10,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,160104.28571428568,2018-03-10
2018-03-24,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,39364.28571428572,2018-03-24
2018-04-07,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,88478.57142857142,2018-04-07
2018-04-21,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,108957.14285714286,2018-04-21
2018-05-05,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,65261.42857142857,2018-05-05
2018-05-19,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,119940.00000000001,2018-05-19
2018-06-02,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,473794.28571428574,2018-06-02
2018-06-16,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,80442.85714285712,2018-06-16
2018-06-30,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,98532.85714285713,2018-06-30
2018-07-14,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,141831.42857142858,2018-07-14
2018-07-28,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,79428.57142857142,2018-07-28
2018-08-11,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2018-08-11
2018-08-25,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,343764.28571428574,2018-08-25
2018-09-08,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,41671.428571428565,2018-09-08
2018-09-22,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,179942.8571428572,2018-09-22
2018-10-06,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,68957.14285714286,2018-10-06
2018-10-20,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,211212.85714285716,2018-10-20
2018-11-03,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,168300.00000000003,2018-11-03
2018-11-17,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,344748.5714285714,2018-11-17
2018-12-01,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,326268.57142857136,2018-12-01
2018-12-15,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,527901.4285714286,2018-12-15
2018-12-29,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,221365.71428571423,2018-12-29
2019-01-12,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,252934.28571428574,2019-01-12
2019-01-26,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,101501.42857142858,2019-01-26
2019-02-09,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,303691.4285714285,2019-02-09
2019-02-23,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,3857.142857142857,2019-02-23
2016-06-01,17,대구 수성구,간이음식 포장 판매 전문점,121200.00000000003,2016-06-01
2016-06-15,17,대구 수성구,간이음식 포장 판매 전문점,130057.14285714287,2016-06-15
2016-06-29,17,대구 수성구,간이음식 포장 판매 전문점,103628.57142857145,2016-06-29
2016-07-13,17,대구 수성구,간이음식 포장 판매 전문점,112685.7142857143,2016-07-13
2016-07-27,17,대구 수성구,간이음식 포장 판매 전문점,148399.99999999997,2016-07-27
2016-08-10,17,대구 수성구,간이음식 포장 판매 전문점,125285.7142857143,2016-08-10
2016-08-24,17,대구 수성구,간이음식 포장 판매 전문점,139600.0,2016-08-24
2016-09-07,17,대구 수성구,간이음식 포장 판매 전문점,185142.85714285713,2016-09-07
2016-09-21,17,대구 수성구,간이음식 포장 판매 전문점,120771.42857142857,2016-09-21
2016-10-05,17,대구 수성구,간이음식 포장 판매 전문점,135142.85714285716,2016-10-05
2016-10-19,17,대구 수성구,간이음식 포장 판매 전문점,112457.14285714286,2016-10-19
2016-11-02,17,대구 수성구,간이음식 포장 판매 전문점,118128.57142857143,2016-11-02
2016-11-16,17,대구 수성구,간이음식 포장 판매 전문점,119142.85714285713,2016-11-16
2016-11-30,17,대구 수성구,간이음식 포장 판매 전문점,131542.85714285713,2016-11-30
2016-12-14,17,대구 수성구,간이음식 포장 판매 전문점,118671.42857142858,2016-12-14
2016-12-28,17,대구 수성구,간이음식 포장 판매 전문점,106157.14285714286,2016-12-28
2017-01-11,17,대구 수성구,간이음식 포장 판매 전문점,93457.14285714284,2017-01-11
2017-01-25,17,대구 수성구,간이음식 포장 판매 전문점,93071.42857142857,2017-01-25
2017-02-08,17,대구 수성구,간이음식 포장 판매 전문점,135371.42857142858,2017-02-08
2017-02-22,17,대구 수성구,간이음식 포장 판매 전문점,111185.71428571428,2017-02-22
2017-03-08,17,대구 수성구,간이음식 포장 판매 전문점,113085.71428571429,2017-03-08
2017-03-22,17,대구 수성구,간이음식 포장 판매 전문점,125985.7142857143,2017-03-22
2017-04-05,17,대구 수성구,간이음식 포장 판매 전문점,133371.42857142858,2017-04-05
2017-04-19,17,대구 수성구,간이음식 포장 판매 전문점,170200.00000000003,2017-04-19
2017-05-03,17,대구 수성구,간이음식 포장 판매 전문점,131442.85714285713,2017-05-03
2017-05-17,17,대구 수성구,간이음식 포장 판매 전문점,123442.85714285716,2017-05-17
2017-05-31,17,대구 수성구,간이음식 포장 판매 전문점,164914.28571428574,2017-05-31
2017-06-14,17,대구 수성구,간이음식 포장 판매 전문점,154157.1428571429,2017-06-14
2017-06-28,17,대구 수성구,간이음식 포장 판매 전문점,163114.28571428574,2017-06-28
2017-07-12,17,대구 수성구,간이음식 포장 판매 전문점,124728.57142857143,2017-07-12
2017-07-26,17,대구 수성구,간이음식 포장 판매 전문점,186400.0,2017-07-26
2017-08-09,17,대구 수성구,간이음식 포장 판매 전문점,196457.14285714287,2017-08-09
2017-08-23,17,대구 수성구,간이음식 포장 판매 전문점,165657.14285714287,2017-08-23
2017-09-06,17,대구 수성구,간이음식 포장 판매 전문점,136985.71428571426,2017-09-06
2017-09-20,17,대구 수성구,간이음식 포장 판매 전문점,191642.85714285716,2017-09-20
2017-10-04,17,대구 수성구,간이음식 포장 판매 전문점,186228.57142857142,2017-10-04
2017-10-18,17,대구 수성구,간이음식 포장 판매 전문점,153385.71428571426,2017-10-18
2017-11-01,17,대구 수성구,간이음식 포장 판매 전문점,131257.14285714287,2017-11-01
2017-11-15,17,대구 수성구,간이음식 포장 판매 전문점,153871.42857142855,2017-11-15
2017-11-29,17,대구 수성구,간이음식 포장 판매 전문점,165371.42857142855,2017-11-29
2017-12-13,17,대구 수성구,간이음식 포장 판매 전문점,137828.57142857142,2017-12-13
2017-12-27,17,대구 수성구,간이음식 포장 판매 전문점,128128.57142857142,2017-12-27
2018-01-10,17,대구 수성구,간이음식 포장 판매 전문점,141642.85714285713,2018-01-10
2018-01-24,17,대구 수성구,간이음식 포장 판매 전문점,163771.42857142855,2018-01-24
2018-02-07,17,대구 수성구,간이음식 포장 판매 전문점,116285.71428571429,2018-02-07
2018-02-21,17,대구 수성구,간이음식 포장 판매 전문점,119185.71428571429,2018-02-21
2018-03-07,17,대구 수성구,간이음식 포장 판매 전문점,146228.57142857142,2018-03-07
2018-03-21,17,대구 수성구,간이음식 포장 판매 전문점,148328.57142857142,2018-03-21
2018-04-04,17,대구 수성구,간이음식 포장 판매 전문점,129085.71428571428,2018-04-04
2018-04-18,17,대구 수성구,간이음식 포장 판매 전문점,121871.42857142858,2018-04-18
2018-05-02,17,대구 수성구,간이음식 포장 판매 전문점,136671.42857142855,2018-05-02
2018-05-16,17,대구 수성구,간이음식 포장 판매 전문점,88585.71428571429,2018-05-16
2018-05-30,17,대구 수성구,간이음식 포장 판매 전문점,28485.714285714283,2018-05-30
2018-06-13,17,대구 수성구,간이음식 포장 판매 전문점,83228.57142857142,2018-06-13
2018-06-27,17,대구 수성구,간이음식 포장 판매 전문점,125785.71428571429,2018-06-27
2018-07-11,17,대구 수성구,간이음식 포장 판매 전문점,130428.57142857145,2018-07-11
2018-07-25,17,대구 수성구,간이음식 포장 판매 전문점,111000.00000000001,2018-07-25
2018-08-08,17,대구 수성구,간이음식 포장 판매 전문점,122771.42857142857,2018-08-08
2018-08-22,17,대구 수성구,간이음식 포장 판매 전문점,153157.14285714287,2018-08-22
2018-09-05,17,대구 수성구,간이음식 포장 판매 전문점,154200.00000000003,2018-09-05
2018-09-19,17,대구 수성구,간이음식 포장 판매 전문점,160728.57142857142,2018-09-19
2018-10-03,17,대구 수성구,간이음식 포장 판매 전문점,117985.7142857143,2018-10-03
2018-10-17,17,대구 수성구,간이음식 포장 판매 전문점,142442.8571428572,2018-10-17
2018-10-31,17,대구 수성구,간이음식 포장 판매 전문점,104785.71428571428,2018-10-31
2018-11-14,17,대구 수성구,간이음식 포장 판매 전문점,99700.0,2018-11-14
2018-11-28,17,대구 수성구,간이음식 포장 판매 전문점,124699.99999999999,2018-11-28
2018-12-12,17,대구 수성구,간이음식 포장 판매 전문점,109771.42857142857,2018-12-12
2018-12-26,17,대구 수성구,간이음식 포장 판매 전문점,115171.42857142858,2018-12-26
2019-01-09,17,대구 수성구,간이음식 포장 판매 전문점,113771.42857142857,2019-01-09
2019-01-23,17,대구 수성구,간이음식 포장 판매 전문점,107314.28571428572,2019-01-23
2019-02-06,17,대구 수성구,간이음식 포장 판매 전문점,104842.85714285713,2019-02-06
2019-02-20,17,대구 수성구,간이음식 포장 판매 전문점,97157.14285714286,2019-02-20
2017-01-10,19,경기 용인시,안경 및 렌즈 소매업,819714.2857142858,2017-01-10
2017-01-24,19,경기 용인시,안경 및 렌즈 소매업,824571.4285714286,2017-01-24
2017-02-07,19,경기 용인시,안경 및 렌즈 소매업,615714.2857142858,2017-02-07
2017-02-21,19,경기 용인시,안경 및 렌즈 소매업,726142.8571428572,2017-02-21
2017-03-07,19,경기 용인시,안경 및 렌즈 소매업,662142.8571428572,2017-03-07
2017-03-21,19,경기 용인시,안경 및 렌즈 소매업,700142.8571428572,2017-03-21
2017-04-04,19,경기 용인시,안경 및 렌즈 소매업,1141714.2857142857,2017-04-04
2017-04-18,19,경기 용인시,안경 및 렌즈 소매업,670571.4285714286,2017-04-18
2017-05-02,19,경기 용인시,안경 및 렌즈 소매업,612142.8571428572,2017-05-02
2017-05-16,19,경기 용인시,안경 및 렌즈 소매업,717285.7142857142,2017-05-16
2017-05-30,19,경기 용인시,안경 및 렌즈 소매업,691857.1428571428,2017-05-30
2017-06-13,19,경기 용인시,안경 및 렌즈 소매업,1342857.1428571427,2017-06-13
2017-06-27,19,경기 용인시,안경 및 렌즈 소매업,499714.2857142857,2017-06-27
2017-07-11,19,경기 용인시,안경 및 렌즈 소매업,799285.7142857143,2017-07-11
2017-07-25,19,경기 용인시,안경 및 렌즈 소매업,795714.2857142857,2017-07-25
2017-08-08,19,경기 용인시,안경 및 렌즈 소매업,716142.857142857,2017-08-08
2017-08-22,19,경기 용인시,안경 및 렌즈 소매업,464000.0,2017-08-22
2017-09-05,19,경기 용인시,안경 및 렌즈 소매업,963000.0,2017-09-05
2017-09-19,19,경기 용인시,안경 및 렌즈 소매업,588285.7142857143,2017-09-19
2017-10-03,19,경기 용인시,안경 및 렌즈 소매업,365428.57142857136,2017-10-03
2017-10-17,19,경기 용인시,안경 및 렌즈 소매업,548571.4285714285,2017-10-17
2017-10-31,19,경기 용인시,안경 및 렌즈 소매업,442571.4285714287,2017-10-31
2017-11-14,19,경기 용인시,안경 및 렌즈 소매업,264857.14285714284,2017-11-14
2017-11-28,19,경기 용인시,안경 및 렌즈 소매업,403285.7142857144,2017-11-28
2017-12-12,19,경기 용인시,안경 및 렌즈 소매업,392714.2857142856,2017-12-12
2017-12-26,19,경기 용인시,안경 및 렌즈 소매업,313142.85714285716,2017-12-26
2018-01-09,19,경기 용인시,안경 및 렌즈 소매업,532142.8571428572,2018-01-09
2018-01-23,19,경기 용인시,안경 및 렌즈 소매업,378142.85714285716,2018-01-23
2018-02-06,19,경기 용인시,안경 및 렌즈 소매업,388143.99999999994,2018-02-06
2018-02-20,19,경기 용인시,안경 및 렌즈 소매업,546142.8571428572,2018-02-20
2018-03-06,19,경기 용인시,안경 및 렌즈 소매업,782428.5714285714,2018-03-06
2018-03-20,19,경기 용인시,안경 및 렌즈 소매업,751000.0,2018-03-20
2018-04-03,19,경기 용인시,안경 및 렌즈 소매업,668142.8571428573,2018-04-03
2018-04-17,19,경기 용인시,안경 및 렌즈 소매업,1137714.2857142854,2018-04-17
2018-05-01,19,경기 용인시,안경 및 렌즈 소매업,612571.4285714286,2018-05-01
2018-05-15,19,경기 용인시,안경 및 렌즈 소매업,373142.85714285716,2018-05-15
2018-05-29,19,경기 용인시,안경 및 렌즈 소매업,745857.142857143,2018-05-29
2018-06-12,19,경기 용인시,안경 및 렌즈 소매업,838285.7142857142,2018-06-12
2018-06-26,19,경기 용인시,안경 및 렌즈 소매업,741714.2857142857,2018-06-26
2018-07-10,19,경기 용인시,안경 및 렌즈 소매업,723571.4285714286,2018-07-10
2018-07-24,19,경기 용인시,안경 및 렌즈 소매업,789000.0000000001,2018-07-24
2018-08-07,19,경기 용인시,안경 및 렌즈 소매업,644714.2857142858,2018-08-07
2018-08-21,19,경기 용인시,안경 및 렌즈 소매업,440714.2857142857,2018-08-21
2018-09-04,19,경기 용인시,안경 및 렌즈 소매업,1280142.857142857,2018-09-04
2018-09-18,19,경기 용인시,안경 및 렌즈 소매업,388428.5714285715,2018-09-18
2018-10-02,19,경기 용인시,안경 및 렌즈 소매업,414514.2857142858,2018-10-02
2018-10-16,19,경기 용인시,안경 및 렌즈 소매업,497428.5714285714,2018-10-16
2018-10-30,19,경기 용인시,안경 및 렌즈 소매업,768571.4285714285,2018-10-30
2018-11-13,19,경기 용인시,안경 및 렌즈 소매업,756571.4285714288,2018-11-13
2018-11-27,19,경기 용인시,안경 및 렌즈 소매업,461000.00000000006,2018-11-27
2018-12-11,19,경기 용인시,안경 및 렌즈 소매업,425142.8571428572,2018-12-11
2018-12-25,19,경기 용인시,안경 및 렌즈 소매업,803714.2857142858,2018-12-25
2019-01-08,19,경기 용인시,안경 및 렌즈 소매업,604857.1428571428,2019-01-08
2019-01-22,19,경기 용인시,안경 및 렌즈 소매업,744857.1428571428,2019-01-22
2019-02-05,19,경기 용인시,안경 및 렌즈 소매업,742714.2857142858,2019-02-05
2019-02-19,19,경기 용인시,안경 및 렌즈 소매업,484000.0,2019-02-19
2016-06-01,23,경기 안양시,기타 미용업,304000.00000000006,2016-06-01
2016-06-15,23,경기 안양시,기타 미용업,501999.99999999994,2016-06-15
2016-06-29,23,경기 안양시,기타 미용업,299714.28571428574,2016-06-29
2016-07-13,23,경기 안양시,기타 미용업,383714.2857142858,2016-07-13
2016-07-27,23,경기 안양시,기타 미용업,396285.7142857144,2016-07-27
2016-08-10,23,경기 안양시,기타 미용업,313714.2857142857,2016-08-10
2016-08-24,23,경기 안양시,기타 미용업,398385.71428571426,2016-08-24
2016-09-07,23,경기 안양시,기타 미용업,271857.1428571429,2016-09-07
2016-09-21,23,경기 안양시,기타 미용업,373857.1428571429,2016-09-21
2016-10-05,23,경기 안양시,기타 미용업,375714.2857142857,2016-10-05
2016-10-19,23,경기 안양시,기타 미용업,323285.7142857143,2016-10-19
2016-11-02,23,경기 안양시,기타 미용업,239428.57142857142,2016-11-02
2016-11-16,23,경기 안양시,기타 미용업,324571.4285714285,2016-11-16
2016-11-30,23,경기 안양시,기타 미용업,347285.7142857143,2016-11-30
2016-12-14,23,경기 안양시,기타 미용업,399285.71428571426,2016-12-14
2016-12-28,23,경기 안양시,기타 미용업,405142.85714285716,2016-12-28
2017-01-11,23,경기 안양시,기타 미용업,267571.4285714285,2017-01-11
2017-01-25,23,경기 안양시,기타 미용업,528571.4285714286,2017-01-25
2017-02-08,23,경기 안양시,기타 미용업,454999.9999999999,2017-02-08
2017-02-22,23,경기 안양시,기타 미용업,496714.28571428574,2017-02-22
2017-03-08,23,경기 안양시,기타 미용업,390857.1428571429,2017-03-08
2017-03-22,23,경기 안양시,기타 미용업,394285.7142857143,2017-03-22
2017-04-05,23,경기 안양시,기타 미용업,351285.71428571426,2017-04-05
2017-04-19,23,경기 안양시,기타 미용업,482142.85714285716,2017-04-19
2017-05-03,23,경기 안양시,기타 미용업,451857.14285714284,2017-05-03
2017-05-17,23,경기 안양시,기타 미용업,452571.42857142864,2017-05-17
2017-05-31,23,경기 안양시,기타 미용업,495142.8571428572,2017-05-31
2017-06-14,23,경기 안양시,기타 미용업,414571.4285714285,2017-06-14
2017-06-28,23,경기 안양시,기타 미용업,477428.5714285715,2017-06-28
2017-07-12,23,경기 안양시,기타 미용업,404714.2857142856,2017-07-12
2017-07-26,23,경기 안양시,기타 미용업,538728.5714285714,2017-07-26
2017-08-09,23,경기 안양시,기타 미용업,408142.8571428572,2017-08-09
2017-08-23,23,경기 안양시,기타 미용업,356285.7142857143,2017-08-23
2017-09-06,23,경기 안양시,기타 미용업,250571.42857142858,2017-09-06
2017-09-20,23,경기 안양시,기타 미용업,407714.28571428574,2017-09-20
2017-10-04,23,경기 안양시,기타 미용업,427285.71428571426,2017-10-04
2017-10-18,23,경기 안양시,기타 미용업,299000.0,2017-10-18
2017-11-01,23,경기 안양시,기타 미용업,243714.28571428568,2017-11-01
2017-11-15,23,경기 안양시,기타 미용업,322000.00000000006,2017-11-15
2017-11-29,23,경기 안양시,기타 미용업,285142.85714285716,2017-11-29
2017-12-13,23,경기 안양시,기타 미용업,255571.42857142858,2017-12-13
2017-12-27,23,경기 안양시,기타 미용업,156857.14285714287,2017-12-27
2018-01-10,23,경기 안양시,기타 미용업,202142.8571428571,2018-01-10
2018-01-24,23,경기 안양시,기타 미용업,314142.85714285716,2018-01-24
2018-02-07,23,경기 안양시,기타 미용업,95000.0,2018-02-07
2018-02-21,23,경기 안양시,기타 미용업,241000.0,2018-02-21
2018-03-07,23,경기 안양시,기타 미용업,232857.1428571428,2018-03-07
2018-03-21,23,경기 안양시,기타 미용업,195714.28571428574,2018-03-21
2018-04-04,23,경기 안양시,기타 미용업,255428.57142857145,2018-04-04
2018-04-18,23,경기 안양시,기타 미용업,412142.8571428571,2018-04-18
2018-05-02,23,경기 안양시,기타 미용업,236571.42857142852,2018-05-02
2018-05-16,23,경기 안양시,기타 미용업,199571.42857142858,2018-05-16
2018-05-30,23,경기 안양시,기타 미용업,160714.2857142857,2018-05-30
2018-06-13,23,경기 안양시,기타 미용업,152714.2857142857,2018-06-13
2018-06-27,23,경기 안양시,기타 미용업,168999.99999999997,2018-06-27
2018-07-11,23,경기 안양시,기타 미용업,147571.42857142858,2018-07-11
