,store_id,region,type_of_business,amount,Date
2017-06-03,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,75428.57142857142,2017-06-03
2017-07-01,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,39049.99999999999,2017-07-01
2017-07-29,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,73942.85714285714,2017-07-29
2017-08-26,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,217085.71428571426,2017-08-26
2017-09-23,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,172085.71428571426,2017-09-23
2017-10-21,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,12671.428571428569,2017-10-21
2017-11-18,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,387871.4285714286,2017-11-18
2017-12-16,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,360314.2857142857,2017-12-16
2018-01-13,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,167514.28571428577,2018-01-13
2018-02-10,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,217685.7142857143,2018-02-10
2018-03-10,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,199468.57142857136,2018-03-10
2018-04-07,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,197421.42857142855,2018-04-07
2018-05-05,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,185201.42857142858,2018-05-05
2018-06-02,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,554237.1428571428,2018-06-02
2018-06-30,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,240364.28571428574,2018-06-30
2018-07-28,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,79428.57142857142,2018-07-28
2018-08-25,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,385435.71428571426,2018-08-25
2018-09-22,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,248757.14285714287,2018-09-22
2018-10-20,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,379512.8571428571,2018-10-20
2018-11-17,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,671002.857142857,2018-11-17
2018-12-15,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,749267.1428571428,2018-12-15
2019-01-12,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,354435.71428571426,2019-01-12
2019-02-09,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,307548.57142857136,2019-02-09
2016-06-01,17,대구 수성구,간이음식 포장 판매 전문점,251257.14285714293,2016-06-01
2016-06-29,17,대구 수성구,간이음식 포장 판매 전문점,216314.28571428574,2016-06-29
2016-07-27,17,대구 수성구,간이음식 포장 판매 전문점,265414.28571428574,2016-07-27
2016-08-24,17,대구 수성구,간이음식 포장 판매 전문점,324742.8571428572,2016-08-24
2016-09-21,17,대구 수성구,간이음식 포장 판매 전문점,255914.28571428568,2016-09-21
2016-10-19,17,대구 수성구,간이음식 포장 판매 전문점,230585.71428571426,2016-10-19
2016-11-16,17,대구 수성구,간이음식 포장 판매 전문점,250685.71428571426,2016-11-16
2016-12-14,17,대구 수성구,간이음식 포장 판매 전문점,224828.57142857145,2016-12-14
2017-01-11,17,대구 수성구,간이음식 포장 판매 전문점,186528.5714285714,2017-01-11
2017-02-08,17,대구 수성구,간이음식 포장 판매 전문점,246557.14285714287,2017-02-08
2017-03-08,17,대구 수성구,간이음식 포장 판매 전문점,239071.42857142858,2017-03-08
2017-04-05,17,대구 수성구,간이음식 포장 판매 전문점,303571.4285714285,2017-04-05
2017-05-03,17,대구 수성구,간이음식 포장 판매 전문점,254885.71428571426,2017-05-03
2017-05-31,17,대구 수성구,간이음식 포장 판매 전문점,319071.4285714286,2017-05-31
2017-06-28,17,대구 수성구,간이음식 포장 판매 전문점,287842.8571428572,2017-06-28
2017-07-26,17,대구 수성구,간이음식 포장 판매 전문점,384028.5714285715,2017-07-26
2017-08-23,17,대구 수성구,간이음식 포장 판매 전문점,301471.42857142864,2017-08-23
2017-09-20,17,대구 수성구,간이음식 포장 판매 전문점,377871.4285714286,2017-09-20
2017-10-18,17,대구 수성구,간이음식 포장 판매 전문점,284642.8571428571,2017-10-18
2017-11-15,17,대구 수성구,간이음식 포장 판매 전문점,319242.8571428571,2017-11-15
2017-12-13,17,대구 수성구,간이음식 포장 판매 전문점,265957.14285714284,2017-12-13
2018-01-10,17,대구 수성구,간이음식 포장 판매 전문점,305414.2857142858,2018-01-10
2018-02-07,17,대구 수성구,간이음식 포장 판매 전문점,235471.4285714286,2018-02-07
2018-03-07,17,대구 수성구,간이음식 포장 판매 전문점,294557.1428571429,2018-03-07
2018-04-04,17,대구 수성구,간이음식 포장 판매 전문점,250957.14285714284,2018-04-04
2018-05-02,17,대구 수성구,간이음식 포장 판매 전문점,225257.14285714284,2018-05-02
2018-05-30,17,대구 수성구,간이음식 포장 판매 전문점,111714.2857142857,2018-05-30
2018-06-27,17,대구 수성구,간이음식 포장 판매 전문점,256214.2857142857,2018-06-27
2018-07-25,17,대구 수성구,간이음식 포장 판매 전문점,233771.42857142858,2018-07-25
2018-08-22,17,대구 수성구,간이음식 포장 판매 전문점,307357.1428571429,2018-08-22
2018-09-19,17,대구 수성구,간이음식 포장 판매 전문점,278714.28571428574,2018-09-19
2018-10-17,17,대구 수성구,간이음식 포장 판매 전문점,247228.57142857148,2018-10-17
2018-11-14,17,대구 수성구,간이음식 포장 판매 전문점,224400.00000000006,2018-11-14
2018-12-12,17,대구 수성구,간이음식 포장 판매 전문점,224942.85714285716,2018-12-12
2019-01-09,17,대구 수성구,간이음식 포장 판매 전문점,221085.71428571426,2019-01-09
2019-02-06,17,대구 수성구,간이음식 포장 판매 전문점,202000.0,2019-02-06
2017-01-10,19,경기 용인시,안경 및 렌즈 소매업,1644285.7142857143,2017-01-10
2017-02-07,19,경기 용인시,안경 및 렌즈 소매업,1341857.142857143,2017-02-07
2017-03-07,19,경기 용인시,안경 및 렌즈 소매업,1362285.7142857146,2017-03-07
2017-04-04,19,경기 용인시,안경 및 렌즈 소매업,1812285.7142857143,2017-04-04
2017-05-02,19,경기 용인시,안경 및 렌즈 소매업,1329428.5714285714,2017-05-02
2017-05-30,19,경기 용인시,안경 및 렌즈 소매업,2034714.285714286,2017-05-30
2017-06-27,19,경기 용인시,안경 및 렌즈 소매업,1298999.9999999998,2017-06-27
2017-07-25,19,경기 용인시,안경 및 렌즈 소매업,1511857.1428571432,2017-07-25
2017-08-22,19,경기 용인시,안경 및 렌즈 소매업,1426999.9999999998,2017-08-22
2017-09-19,19,경기 용인시,안경 및 렌즈 소매업,953714.2857142859,2017-09-19
2017-10-17,19,경기 용인시,안경 및 렌즈 소매업,991142.8571428572,2017-10-17
2017-11-14,19,경기 용인시,안경 및 렌즈 소매업,668142.857142857,2017-11-14
2017-12-12,19,경기 용인시,안경 및 렌즈 소매업,705857.1428571428,2017-12-12
2018-01-09,19,경기 용인시,안경 및 렌즈 소매업,910285.7142857142,2018-01-09
2018-02-06,19,경기 용인시,안경 및 렌즈 소매업,934286.8571428572,2018-02-06
2018-03-06,19,경기 용인시,안경 및 렌즈 소매업,1533428.5714285714,2018-03-06
2018-04-03,19,경기 용인시,안경 및 렌즈 소매업,1805857.1428571432,2018-04-03
2018-05-01,19,경기 용인시,안경 및 렌즈 소매업,985714.2857142858,2018-05-01
2018-05-29,19,경기 용인시,안경 및 렌즈 소매업,1584142.8571428573,2018-05-29
2018-06-26,19,경기 용인시,안경 및 렌즈 소매업,1465285.7142857146,2018-06-26
2018-07-24,19,경기 용인시,안경 및 렌즈 소매업,1433714.2857142854,2018-07-24
2018-08-21,19,경기 용인시,안경 및 렌즈 소매업,1720857.142857143,2018-08-21
2018-09-18,19,경기 용인시,안경 및 렌즈 소매업,802942.8571428573,2018-09-18
2018-10-16,19,경기 용인시,안경 및 렌즈 소매업,1266000.0,2018-10-16
2018-11-13,19,경기 용인시,안경 및 렌즈 소매업,1217571.4285714289,2018-11-13
2018-12-11,19,경기 용인시,안경 및 렌즈 소매업,1228857.142857143,2018-12-11
2019-01-08,19,경기 용인시,안경 및 렌즈 소매업,1349714.2857142857,2019-01-08
2019-02-05,19,경기 용인시,안경 및 렌즈 소매업,1226714.2857142857,2019-02-05
2016-06-01,23,경기 안양시,기타 미용업,808857.142857143,2016-06-01
2016-06-29,23,경기 안양시,기타 미용업,683428.5714285714,2016-06-29
2016-07-27,23,경기 안양시,기타 미용업,710000.0000000001,2016-07-27
2016-08-24,23,경기 안양시,기타 미용업,670242.8571428572,2016-08-24
2016-09-21,23,경기 안양시,기타 미용업,749571.4285714286,2016-09-21
2016-10-19,23,경기 안양시,기타 미용업,559857.1428571428,2016-10-19
2016-11-16,23,경기 안양시,기타 미용업,671857.1428571427,2016-11-16
2016-12-14,23,경기 안양시,기타 미용업,804428.5714285714,2016-12-14
2017-01-11,23,경기 안양시,기타 미용업,796142.8571428572,2017-01-11
2017-02-08,23,경기 안양시,기타 미용업,951714.2857142856,2017-02-08
2017-03-08,23,경기 안양시,기타 미용업,785142.857142857,2017-03-08
2017-04-05,23,경기 안양시,기타 미용업,833428.5714285714,2017-04-05
2017-05-03,23,경기 안양시,기타 미용업,904428.5714285715,2017-05-03
2017-05-31,23,경기 안양시,기타 미용업,923999.9999999999,2017-05-31
2017-06-28,23,경기 안양시,기타 미용업,886428.5714285716,2017-06-28
2017-07-26,23,경기 안양시,기타 미용업,946871.4285714288,2017-07-26
2017-08-23,23,경기 안양시,기타 미용업,602571.4285714285,2017-08-23
2017-09-20,23,경기 안양시,기타 미용업,820714.2857142858,2017-09-20
2017-10-18,23,경기 안양시,기타 미용업,542714.2857142858,2017-10-18
2017-11-15,23,경기 안양시,기타 미용업,607142.8571428573,2017-11-15
2017-12-13,23,경기 안양시,기타 미용업,412428.5714285715,2017-12-13
2018-01-10,23,경기 안양시,기타 미용업,516285.71428571426,2018-01-10
2018-02-07,23,경기 안양시,기타 미용업,336000.0,2018-02-07
2018-03-07,23,경기 안양시,기타 미용업,428571.4285714285,2018-03-07
2018-04-04,23,경기 안양시,기타 미용업,667571.4285714286,2018-04-04
2018-05-02,23,경기 안양시,기타 미용업,436142.85714285704,2018-05-02
2018-05-30,23,경기 안양시,기타 미용업,313428.57142857136,2018-05-30
2018-06-27,23,경기 안양시,기타 미용업,316571.42857142846,2018-06-27
2018-07-25,23,경기 안양시,기타 미용업,426285.7142857142,2018-07-25
2018-08-22,23,경기 안양시,기타 미용업,609428.5714285715,2018-08-22
2018-09-19,23,경기 안양시,기타 미용업,404142.85714285716,2018-09-19
2018-10-17,23,경기 안양시,기타 미용업,225428.57142857142,2018-10-17
2018-11-14,23,경기 안양시,기타 미용업,1139999.9999999998,2018-11-14
2018-12-12,23,경기 안양시,기타 미용업,630000.0,2018-12-12
2019-01-09,23,경기 안양시,기타 미용업,613142.8571428569,2019-01-09
2019-02-06,23,경기 안양시,기타 미용업,462428.5714285715,2019-02-06
2017-02-22,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",94999.99999999999,2017-02-22
2017-03-22,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",109000.00000000001,2017-03-22
2017-04-19,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",121857.14285714286,2017-04-19
2017-05-17,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",100571.42857142858,2017-05-17
2017-06-14,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",39142.857142857145,2017-06-14
2017-07-12,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",32714.285714285717,2017-07-12
2017-08-09,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",13714.285714285716,2017-08-09
2017-09-06,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",115571.42857142857,2017-09-06
2017-10-04,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",46428.57142857143,2017-10-04
2017-11-01,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",50714.28571428571,2017-11-01
2017-11-29,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",35714.28571428571,2017-11-29
2017-12-27,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",35000.0,2017-12-27
2018-01-24,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",166000.0,2018-01-24
2018-02-21,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",113857.14285714286,2018-02-21
2018-03-21,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",87571.4285714286,2018-03-21
2018-04-18,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",92000.0,2018-04-18
2018-05-16,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",87857.14285714284,2018-05-16
2018-06-13,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",63142.85714285714,2018-06-13
2018-07-11,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",96142.85714285714,2018-07-11
2018-08-08,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",9857.142857142859,2018-08-08
2018-09-05,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",411285.71428571426,2018-09-05
2018-10-03,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",85999.99999999999,2018-10-03
2018-10-31,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",77285.71428571429,2018-10-31
2018-11-28,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",9428.57142857143,2018-11-28
2018-12-26,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",41857.142857142855,2018-12-26
2019-01-23,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",392714.28571428574,2019-01-23
2019-02-20,25,경기 수원시,"채소, 과실 및 뿌리작물 소매업",2428.5714285714284,2019-02-20
2016-06-01,30,경기 안양시,서양식 음식점업,475428.5714285715,2016-06-01
2016-06-29,30,경기 안양시,서양식 음식점업,369228.57142857154,2016-06-29
2016-07-27,30,경기 안양시,서양식 음식점업,449400.0,2016-07-27
2016-08-24,30,경기 안양시,서양식 음식점업,163928.57142857142,2016-08-24
2016-09-21,30,경기 안양시,서양식 음식점업,237142.85714285713,2016-09-21
2016-10-19,30,경기 안양시,서양식 음식점업,276785.71428571426,2016-10-19
2016-11-16,30,경기 안양시,서양식 음식점업,280242.8571428571,2016-11-16
2016-12-14,30,경기 안양시,서양식 음식점업,314371.42857142864,2016-12-14
2017-01-11,30,경기 안양시,서양식 음식점업,360142.85714285716,2017-01-11
2017-02-08,30,경기 안양시,서양식 음식점업,390085.7142857142,2017-02-08
2017-03-08,30,경기 안양시,서양식 음식점업,291071.4285714285,2017-03-08
2017-04-05,30,경기 안양시,서양식 음식점업,305414.2857142857,2017-04-05
2017-05-03,30,경기 안양시,서양식 음식점업,313114.2857142856,2017-05-03
2017-05-31,30,경기 안양시,서양식 음식점업,338814.28571428574,2017-05-31
2017-06-28,30,경기 안양시,서양식 음식점업,386742.85714285716,2017-06-28
2017-07-26,30,경기 안양시,서양식 음식점업,515242.85714285704,2017-07-26
2017-08-23,30,경기 안양시,서양식 음식점업,430085.71428571426,2017-08-23
2017-09-20,30,경기 안양시,서양식 음식점업,372871.4285714286,2017-09-20
2017-10-18,30,경기 안양시,서양식 음식점업,323421.4285714286,2017-10-18
2017-11-15,30,경기 안양시,서양식 음식점업,305795.71428571426,2017-11-15
2017-12-13,30,경기 안양시,서양식 음식점업,335765.71428571426,2017-12-13
2018-01-10,30,경기 안양시,서양식 음식점업,154571.42857142858,2018-01-10
2018-02-07,30,경기 안양시,서양식 음식점업,126357.14285714287,2018-02-07
2018-03-07,30,경기 안양시,서양식 음식점업,212728.5714285714,2018-03-07
2018-04-04,30,경기 안양시,서양식 음식점업,205664.2857142857,2018-04-04
2018-05-02,30,경기 안양시,서양식 음식점업,257340.00000000003,2018-05-02
2018-05-30,30,경기 안양시,서양식 음식점업,181728.57142857142,2018-05-30
2018-06-27,30,경기 안양시,서양식 음식점업,211685.71428571423,2018-06-27
2018-07-25,30,경기 안양시,서양식 음식점업,226671.42857142858,2018-07-25
2018-08-22,30,경기 안양시,서양식 음식점업,306800.00000000006,2018-08-22
2018-09-19,30,경기 안양시,서양식 음식점업,272957.1428571429,2018-09-19
2018-10-17,30,경기 안양시,서양식 음식점업,233142.85714285713,2018-10-17
2018-11-14,30,경기 안양시,서양식 음식점업,297657.1428571429,2018-11-14
2018-12-12,30,경기 안양시,서양식 음식점업,354142.8571428572,2018-12-12
2019-01-09,30,경기 안양시,서양식 음식점업,299642.8571428571,2019-01-09
2019-02-06,30,경기 안양시,서양식 음식점업,94200.00000000003,2019-02-06
2016-06-02,32,서울 마포구,통신기기 소매업,56172.857142857145,2016-06-02
2016-06-30,32,서울 마포구,통신기기 소매업,122005.7142857143,2016-06-30
2016-07-28,32,서울 마포구,통신기기 소매업,64187.14285714285,2016-07-28
2016-08-25,32,서울 마포구,통신기기 소매업,128452.85714285714,2016-08-25
2016-09-22,32,서울 마포구,통신기기 소매업,60542.85714285715,2016-09-22
2016-10-20,32,서울 마포구,통신기기 소매업,267720.00000000006,2016-10-20
2016-11-17,32,서울 마포구,통신기기 소매업,87395.7142857143,2016-11-17
2016-12-15,32,서울 마포구,통신기기 소매업,383814.2857142857,2016-12-15
2017-01-12,32,서울 마포구,통신기기 소매업,94442.85714285716,2017-01-12
2017-02-09,32,서울 마포구,통신기기 소매업,53714.28571428572,2017-02-09
2017-03-09,32,서울 마포구,통신기기 소매업,102527.14285714286,2017-03-09
2017-04-06,32,서울 마포구,통신기기 소매업,83712.85714285714,2017-04-06
2017-05-04,32,서울 마포구,통신기기 소매업,264428.5714285714,2017-05-04
2017-06-01,32,서울 마포구,통신기기 소매업,34748.57142857143,2017-06-01
2017-06-29,32,서울 마포구,통신기기 소매업,198137.14285714287,2017-06-29
2017-07-27,32,서울 마포구,통신기기 소매업,87440.0,2017-07-27
2017-08-24,32,서울 마포구,통신기기 소매업,86898.57142857145,2017-08-24
2017-09-21,32,서울 마포구,통신기기 소매업,97414.28571428571,2017-09-21
2017-10-19,32,서울 마포구,통신기기 소매업,300804.28571428574,2017-10-19
2017-11-16,32,서울 마포구,통신기기 소매업,196114.28571428574,2017-11-16
2017-12-14,32,서울 마포구,통신기기 소매업,238395.7142857143,2017-12-14
2018-01-11,32,서울 마포구,통신기기 소매업,60407.142857142855,2018-01-11
2018-02-08,32,서울 마포구,통신기기 소매업,38617.14285714286,2018-02-08
2018-03-08,32,서울 마포구,통신기기 소매업,102800.00000000001,2018-03-08
2018-04-05,32,서울 마포구,통신기기 소매업,67000.0,2018-04-05
2018-05-03,32,서울 마포구,통신기기 소매업,60914.28571428572,2018-05-03
2018-05-31,32,서울 마포구,통신기기 소매업,55171.428571428565,2018-05-31
2018-06-28,32,서울 마포구,통신기기 소매업,355434.28571428574,2018-06-28
2018-07-26,32,서울 마포구,통신기기 소매업,234034.2857142857,2018-07-26
2018-08-23,32,서울 마포구,통신기기 소매업,76498.57142857145,2018-08-23
2018-09-20,32,서울 마포구,통신기기 소매업,39714.285714285725,2018-09-20
2018-10-18,32,서울 마포구,통신기기 소매업,28000.0,2018-10-18
2018-11-15,32,서울 마포구,통신기기 소매업,280571.42857142864,2018-11-15
2018-12-13,32,서울 마포구,통신기기 소매업,49764.28571428572,2018-12-13
2019-01-10,32,서울 마포구,통신기기 소매업,40431.42857142857,2019-01-10
2019-02-07,32,서울 마포구,통신기기 소매업,98334.28571428571,2019-02-07
2016-06-01,33,서울 마포구,한식 음식점업,433357.1428571427,2016-06-01
2016-06-29,33,서울 마포구,한식 음식점업,236357.14285714293,2016-06-29
2016-07-27,33,서울 마포구,한식 음식점업,234928.57142857145,2016-07-27
2016-08-24,33,서울 마포구,한식 음식점업,299528.5714285714,2016-08-24
2016-09-21,33,서울 마포구,한식 음식점업,463071.4285714286,2016-09-21
2016-10-19,33,서울 마포구,한식 음식점업,372571.4285714286,2016-10-19
2016-11-16,33,서울 마포구,한식 음식점업,525357.142857143,2016-11-16
2016-12-14,33,서울 마포구,한식 음식점업,476214.2857142857,2016-12-14
2017-01-11,33,서울 마포구,한식 음식점업,594642.857142857,2017-01-11
2017-02-08,33,서울 마포구,한식 음식점업,498428.5714285714,2017-02-08
2017-03-08,33,서울 마포구,한식 음식점업,485714.2857142858,2017-03-08
2017-04-05,33,서울 마포구,한식 음식점업,720857.1428571428,2017-04-05
2017-05-03,33,서울 마포구,한식 음식점업,762000.0,2017-05-03
2017-05-31,33,서울 마포구,한식 음식점업,649571.4285714286,2017-05-31
2017-06-28,33,서울 마포구,한식 음식점업,583571.4285714286,2017-06-28
2017-07-26,33,서울 마포구,한식 음식점업,449142.8571428572,2017-07-26
2017-08-23,33,서울 마포구,한식 음식점업,670857.1428571427,2017-08-23
2017-09-20,33,서울 마포구,한식 음식점업,780000.0,2017-09-20
2017-10-18,33,서울 마포구,한식 음식점업,651571.4285714285,2017-10-18
2017-11-15,33,서울 마포구,한식 음식점업,744857.1428571428,2017-11-15
2017-12-13,33,서울 마포구,한식 음식점업,607714.2857142856,2017-12-13
2018-01-10,33,서울 마포구,한식 음식점업,453285.7142857143,2018-01-10
2018-02-07,33,서울 마포구,한식 음식점업,538000.0,2018-02-07
2018-03-07,33,서울 마포구,한식 음식점업,737857.1428571428,2018-03-07
2018-04-04,33,서울 마포구,한식 음식점업,781285.7142857144,2018-04-04
2018-05-02,33,서울 마포구,한식 음식점업,815000.0,2018-05-02
2018-05-30,33,서울 마포구,한식 음식점업,875357.1428571428,2018-05-30
2018-06-27,33,서울 마포구,한식 음식점업,1052285.714285714,2018-06-27
2018-07-25,33,서울 마포구,한식 음식점업,748714.2857142857,2018-07-25
2018-08-22,33,서울 마포구,한식 음식점업,882828.5714285715,2018-08-22
2018-09-19,33,서울 마포구,한식 음식점업,979342.8571428572,2018-09-19
2018-10-17,33,서울 마포구,한식 음식점업,1237857.1428571432,2018-10-17
2018-11-14,33,서울 마포구,한식 음식점업,1257857.1428571427,2018-11-14
2018-12-12,33,서울 마포구,한식 음식점업,1214600.0000000002,2018-12-12
2019-01-09,33,서울 마포구,한식 음식점업,743214.2857142858,2019-01-09
2019-02-06,33,서울 마포구,한식 음식점업,859142.8571428572,2019-02-06
2016-06-01,34,서울 마포구,기타 주점업,962714.2857142857,2016-06-01
2016-06-29,34,서울 마포구,기타 주점업,1075642.8571428573,2016-06-29
2016-07-27,34,서울 마포구,기타 주점업,819771.4285714286,2016-07-27
2016-08-24,34,서울 마포구,기타 주점업,734142.857142857,2016-08-24
2016-09-21,34,서울 마포구,기타 주점업,779785.7142857143,2016-09-21
2016-10-19,34,서울 마포구,기타 주점업,986428.5714285715,2016-10-19
2016-11-16,34,서울 마포구,기타 주점업,955785.7142857142,2016-11-16
2016-12-14,34,서울 마포구,기타 주점업,915250.5714285711,2016-12-14
2017-01-11,34,서울 마포구,기타 주점업,677571.4285714285,2017-01-11
2017-02-08,34,서울 마포구,기타 주점업,1483571.4285714286,2017-02-08
2017-03-08,34,서울 마포구,기타 주점업,1031714.2857142854,2017-03-08
2017-04-05,34,서울 마포구,기타 주점업,658285.7142857143,2017-04-05
2017-05-03,34,서울 마포구,기타 주점업,988071.4285714285,2017-05-03
2017-05-31,34,서울 마포구,기타 주점업,752999.9999999999,2017-05-31
2017-06-28,34,서울 마포구,기타 주점업,713857.142857143,2017-06-28
2017-07-26,34,서울 마포구,기타 주점업,499857.1428571428,2017-07-26
2017-08-23,34,서울 마포구,기타 주점업,362085.7142857143,2017-08-23
2017-09-20,34,서울 마포구,기타 주점업,284714.2857142857,2017-09-20
2017-10-18,34,서울 마포구,기타 주점업,629214.2857142859,2017-10-18
2017-11-15,34,서울 마포구,기타 주점업,829457.142857143,2017-11-15
2017-12-13,34,서울 마포구,기타 주점업,1100228.5714285714,2017-12-13
2018-01-10,34,서울 마포구,기타 주점업,841057.1428571428,2018-01-10
2018-02-07,34,서울 마포구,기타 주점업,973914.2857142856,2018-02-07
2018-03-07,34,서울 마포구,기타 주점업,839743.4285714286,2018-03-07
2018-04-04,34,서울 마포구,기타 주점업,1179014.285714286,2018-04-04
